"ID","Description"
9602,"Human milk"
1004,"Milk, reduced fat"
1002,"Milk, whole"
1006,"Milk, lowfat"
1008,"Milk, nonfat"
1202,"Flavored milk, whole"
1902,"Plant-based milk"
1820,"Yogurt, regular"
1822,"Yogurt, Greek"
8412,"Dips, gravies, other sauces"
5802,"Ice cream and frozen dairy desserts"
9007,"Baby food: mixtures"
9010,"Baby food: yogurt"
1206,"Flavored milk, lowfat"
1204,"Flavored milk, reduced fat"
1208,"Flavored milk, nonfat"
1402,"Milk shakes and other dairy drinks"
7220,"Smoothies and grain drinks"
9404,"Formula, prepared from powder"
9402,"Formula, ready-to-feed"
9999,"Not included in a food category"
8008,"Cream and cream substitutes"
8006,"Cream cheese, sour cream, whipped cream"
5804,"Pudding"
5502,"Cakes and pies"
1602,"Cheese"
1604,"Cottage/ricotta cheese"
3602,"Pizza"
2502,"Eggs and omelets"
3720,"Cheese sandwiches"
6432,"Coleslaw, non-lettuce salads"
2002,"Beef, excludes ground"
2004,"Ground beef"
9008,"Baby food: meat and dinners"
2602,"Cold cuts and cured meats"
2604,"Bacon"
2006,"Pork"
3002,"Meat mixed dishes"
8002,"Butter and animal fats"
2008,"Lamb, goat, game"
2206,"Turkey, duck, other poultry"
2202,"Chicken, whole pieces"
2204,"Chicken patties, nuggets and tenders"
2010,"Liver and organ meats"
2606,"Frankfurters"
2608,"Sausages"
2402,"Fish"
2404,"Shellfish"
3404,"Stir-fry and soy-based sauce mixtures"
3004,"Poultry mixed dishes"
8410,"Pasta sauces, tomato-based"
3006,"Seafood mixed dishes"
8404,"Soy-based condiments"
3202,"Rice mixed dishes"
3402,"Fried rice and lo/chow mein"
3502,"Burritos and tacos"
6411,"Other dark green vegetables"
3740,"Deli and cured meat sandwiches"
3742,"Meat and BBQ sandwiches"
3702,"Burgers"
3704,"Chicken fillet sandwiches"
3730,"Seafood sandwiches"
3703,"Frankfurter sandwiches"
3804,"Soups, broth-based"
3808,"Ramen and Asian broth-based soups"
3806,"Soups, cream-based"
3706,"Egg/breakfast sandwiches"
2802,"Beans, peas, legumes"
3102,"Bean, pea, legume dishes"
5004,"Tortilla, corn, other chips"
3104,"Vegetable dishes"
2806,"Soy and meat-alternative products"
1904,"Plant-based yogurt"
8406,"Mustard and other condiments"
3744,"Vegetable sandwiches/burgers"
2804,"Nuts and seeds"
3722,"Peanut butter and jelly sandwiches"
7204,"Fruit drinks"
4202,"Yeast breads"
4204,"Rolls and buns"
5506,"Doughnuts, sweet rolls, pastries"
4206,"Bagels and English muffins"
3208,"Turnovers and other grain-based items"
5202,"Crackers, excludes saltines"
5504,"Cookies and brownies"
4402,"Biscuits, muffins, quick breads"
4208,"Tortillas"
4404,"Pancakes, waffles, French toast"
5402,"Cereal bars"
5404,"Nutrition bars"
9012,"Baby food: snacks and sweets"
5204,"Saltine crackers"
5008,"Pretzels/snack mix"
5002,"Potato chips"
5006,"Popcorn"
4004,"Pasta, noodles, cooked grains"
4804,"Grits and other cooked cereals"
4802,"Oatmeal"
4002,"Rice"
4602,"Ready-to-eat cereal, higher sugar (>21.2g/100g)"
4604,"Ready-to-eat cereal, lower sugar (=<21.2g/100g)"
9002,"Baby food: cereals"
3506,"Other Mexican mixed dishes"
3504,"Nachos"
3406,"Egg rolls, dumplings, sushi"
3204,"Pasta mixed dishes, excludes macaroni and cheese"
3206,"Macaroni and cheese"
6012,"Citrus fruits"
8806,"Jams, syrups, toppings"
7002,"Citrus juice"
7006,"Other fruit juice"
6016,"Dried fruits"
6018,"Other fruits and fruit salads"
6002,"Apples"
6420,"Other vegetables and combinations"
6004,"Bananas"
6014,"Melons"
6006,"Grapes"
6024,"Mango and papaya"
6008,"Peaches and nectarines"
6020,"Pears"
6022,"Pineapple"
6011,"Blueberries and other berries"
6009,"Strawberries"
5806,"Gelatins, ices, sorbets"
7004,"Apple juice"
9004,"Baby food: fruit"
9202,"Baby juice"
6802,"White potatoes, baked or boiled"
6806,"Mashed potatoes and white potato mixtures"
6804,"French fries and other fried white potatoes"
6418,"Other starchy vegetables"
6430,"Fried vegetables"
6407,"Broccoli"
6410,"Lettuce and lettuce salads"
6409,"Spinach"
6404,"Carrots"
7008,"Vegetable juice"
6406,"Other red and orange vegetables"
6402,"Tomatoes"
8408,"Olives, pickles, pickled vegetables"
8402,"Tomato-based condiments"
6412,"String beans"
6413,"Cabbage"
6416,"Corn"
6414,"Onions"
9006,"Baby food: vegetables"
8004,"Margarine"
8010,"Mayonnaise"
8012,"Salad dressings and vegetable oils"
6489,"Vegetables on a sandwich"
8802,"Sugars and honey"
8804,"Sugar substitutes"
5704,"Candy not containing chocolate"
5702,"Candy containing chocolate"
7302,"Coffee"
7304,"Tea"
7202,"Soft drinks"
7102,"Diet soft drinks"
7802,"Flavored or carbonated water"
7106,"Other diet drinks"
7502,"Beer"
7506,"Liquor and cocktails"
7504,"Wine"
7702,"Tap water"
7704,"Bottled water"
7804,"Enhanced water"
9204,"Baby water"
7208,"Nutritional beverages"
9802,"Protein and nutritional powders"
7206,"Sport and energy drinks"
7104,"Diet sport and energy drinks"
