ID,Name,Importance
20,alcohol_100g,0.38398887078168514
21,caffeine_100g,-8.014898022343353e-05
22,calcium_100g,9.350242347875075e-05
23,carbohydrates_100g,0.02263739426485687
25,beta-carotene_100g,-1.0563311963655479e-05
26,cholesterol_100g,0.00021847932315026704
28,copper_100g,-0.0012496957837352155
31,omega-9-fat_100gmonounsaturated-fat_100g,-0.058820828975633274
32,polyunsaturated-fat_100gomega-6-fat_100gomega-3-fat_100g,-0.2604293822419986
33,saturated-fat_100g,0.4703436901072823
34,fiber_100g,-0.20955264392388293
37,folates_100gvitamin-b9_100g,-3.1280733134520226e-07
39,iron_100g,-0.00020762438552231037
42,magnesium_100g,-1.4426017680928835e-06
43,vitamin-pp_100g,0.00012378259674653794
44,phosphorus_100g,-1.6432546137430755e-05
45,potassium_100g,-0.0006263773824324579
46,proteins_100g,0.13647678758816945
48,vitamin-b2_100g,-7.214628647194179e-05
49,selenium_100g,8.581679512122247e-07
50,sodium_100gsalt_100g,0.045963365582228494
51,sugars_100g,0.20036016233110843
53,vitamin-b1_100g,-0.00026696736875228127
54,fat_100g,0.19367179762721615
55,vitamin-a_100g,0.00024409485659053533
56,vitamin-b12_100g,-2.550432638091542e-05
58,vitamin-b6_100g,0.000294451946072272
59,vitamin-c_100g,-3.1550461745743015e-05
60,vitamin-d_100g,0.000468745997556739
61,vitamin-e_100g,-0.0012970945910874543
63,vitamin-k_100g,1.227972898362552e-07
65,zinc_100g,0.0921436162654191
